,Location (county),Total number of birds testing positive,week,year,date,season
0,Carmarthenshire,1,51,2016,2016-12-19,2016/2017
1,Dumfries and Galloway,1,51,2016,2016-12-19,2016/2017
2,Leicestershire,1,51,2016,2016-12-19,2016/2017
3,Somerset,1,51,2016,2016-12-19,2016/2017
4,Lincolnshire,5,52,2016,2016-12-26,2016/2017
5,Gloucestershire,4,52,2016,2016-12-26,2016/2017
6,Merseyside,5,52,2016,2016-12-26,2016/2017
7,Dorset,9,1,2017,2017-01-02,2016/2017
8,Devon,1,1,2017,2017-01-02,2016/2017
9,Conwy,1,1,2017,2017-01-02,2016/2017
10,Wales,1,2,2017,2017-01-09,2016/2017
11,Dorset,1,2,2017,2017-01-09,2016/2017
12,Lancashire,1,2,2017,2017-01-09,2016/2017
13,Tyne & Wear,1,2,2017,2017-01-09,2016/2017
14,Northants,1,2,2017,2017-01-09,2016/2017
15,Gloucestershire,1,2,2017,2017-01-09,2016/2017
16,Dorset,1,3,2017,2017-01-16,2016/2017
17,Somerset,1,3,2017,2017-01-16,2016/2017
18,North Yorkshire,1,4,2017,2017-01-23,2016/2017
19,Lancashire ,1,5,2017,2017-01-30,2016/2017
20,Norfolk,1,6,2017,2017-02-06,2016/2017
21,Norfolk,1,7,2017,2017-02-13,2016/2017
22,Norfolk,1,8,2017,2017-02-20,2016/2017
23,Pembroke ,1,9,2017,2017-02-27,2016/2017
24,Somerset,1,11,2017,2017-03-13,2016/2017
25,Norfolk,1,28,2017,2017-07-10,2016/2017
26,Dorset,31,2,2018,2018-01-08,2017/2018
27,Warwickshire,13,3,2018,2018-01-15,2017/2018
28,Hertfordshire,19,3,2018,2018-01-15,2017/2018
29,West Yorkshire,1,4,2018,2018-01-22,2017/2018
30,Rutland,9,4,2018,2018-01-22,2017/2018
31,Greater London,2,4,2018,2018-01-22,2017/2018
32,Berkshire,5,5,2018,2018-01-29,2017/2018
33,Surrey,2,5,2018,2018-01-29,2017/2018
34,Hertfordshire,1,5,2018,2018-01-29,2017/2018
35,Surrey,1,5,2018,2018-01-29,2017/2018
36,Warwickshire,1,5,2018,2018-01-29,2017/2018
37,Oxfordshire,1,7,2018,2018-02-12,2017/2018
38,Surrey,2,9,2018,2018-02-26,2017/2018
39,Lincolnshire,4,9,2018,2018-02-26,2017/2018
40,Devon,1,9,2018,2018-02-26,2017/2018
41,Suffolk,1,9,2018,2018-02-26,2017/2018
42,South Glamorgan,1,9,2018,2018-02-26,2017/2018
43,Hampshire,1,9,2018,2018-02-26,2017/2018
44,Suffolk,2,13,2018,2018-03-26,2017/2018
45,Suffolk - new report from previously reported location,2,14,2018,2018-04-02,2017/2018
46,Suffolk - new report from previously reported location,1,16,2018,2018-04-16,2017/2018
47,Gloucestershire,2,45,2020,2020-11-09,2020/2021
48,Gloucestershire,1,46,2020,2020-11-16,2020/2021
49,Devon,5,46,2020,2020-11-16,2020/2021
50,Lincolnshire,8,46,2020,2020-11-16,2020/2021
51,Lancashire,1,46,2020,2020-11-16,2020/2021
52,Lancashire,1,46,2020,2020-11-16,2020/2021
53,Gloucestershire,6,46,2020,2020-11-16,2020/2021
54,Dorset,1,46,2020,2020-11-16,2020/2021
55,Essex,1,47,2020,2020-11-23,2020/2021
56,Cambridgeshire,1,47,2020,2020-11-23,2020/2021
57,Dorset,6,47,2020,2020-11-23,2020/2021
58,Dorset,1,47,2020,2020-11-23,2020/2021
59,Devon ,2,47,2020,2020-11-23,2020/2021
60,Dorset,3,47,2020,2020-11-23,2020/2021
61,Gloucestershire,2,47,2020,2020-11-23,2020/2021
62,Cambridgeshire,1,48,2020,2020-11-30,2020/2021
63,Cambridgeshire,1,48,2020,2020-11-30,2020/2021
64,Dorset,26,48,2020,2020-11-30,2020/2021
65,Devon,1,48,2020,2020-11-30,2020/2021
66,Cornwall,1,48,2020,2020-11-30,2020/2021
67,Devon,1,48,2020,2020-11-30,2020/2021
68,Devon,1,48,2020,2020-11-30,2020/2021
69,Dorset,1,48,2020,2020-11-30,2020/2021
70,Gloucestershire,1,48,2020,2020-11-30,2020/2021
71,Warwarckshire,1,48,2020,2020-11-30,2020/2021
72,Suffolk,1,48,2020,2020-11-30,2020/2021
73,Kent,1,48,2020,2020-11-30,2020/2021
74,Staffordshire,1,48,2020,2020-11-30,2020/2021
75,Dorset,1,48,2020,2020-11-30,2020/2021
76,Dorset,32,48,2020,2020-11-30,2020/2021
77,Gloucestershire,3,48,2020,2020-11-30,2020/2021
78,Gloucestershire,1,48,2020,2020-11-30,2020/2021
79,Oxfordshire,1,48,2020,2020-11-30,2020/2021
80,Surrey,1,48,2020,2020-11-30,2020/2021
81,Essex,1,48,2020,2020-11-30,2020/2021
82,Cambridgeshire,1,48,2020,2020-11-30,2020/2021
83,Northumberland,1,48,2020,2020-11-30,2020/2021
84,Dorset,4,48,2020,2020-11-30,2020/2021
85,Devon,1,48,2020,2020-11-30,2020/2021
86,Warwickshire,1,48,2020,2020-11-30,2020/2021
87,Northumberland,2,48,2020,2020-11-30,2020/2021
88,Cumbria,6,48,2020,2020-11-30,2020/2021
89,Lancashire,4,48,2020,2020-11-30,2020/2021
90,Gwent,3,49,2020,2020-12-07,2020/2021
91,Oxfordshire,1,49,2020,2020-12-07,2020/2021
92,Northumberland,1,49,2020,2020-12-07,2020/2021
93,Lincolnshire,1,49,2020,2020-12-07,2020/2021
94,Yorkshire,1,49,2020,2020-12-07,2020/2021
95,Norfolk,1,49,2020,2020-12-07,2020/2021
96,Carmarthenshire,1,49,2020,2020-12-07,2020/2021
97,Warwickshire,1,49,2020,2020-12-07,2020/2021
98,Worcestershire,5,50,2020,2020-12-14,2020/2021
99,Aberdeen,3,50,2020,2020-12-14,2020/2021
100,Fife,1,50,2020,2020-12-14,2020/2021
101,Dorset,12,50,2020,2020-12-14,2020/2021
102,Dorset,1,50,2020,2020-12-14,2020/2021
103,Essex,1,50,2020,2020-12-14,2020/2021
104,Cambridgeshire,3,50,2020,2020-12-14,2020/2021
105,Cambridgeshire,1,50,2020,2020-12-14,2020/2021
106,Cambridgeshire,1,50,2020,2020-12-14,2020/2021
107,Lancashire,3,50,2020,2020-12-14,2020/2021
108,Warwickshire,2,50,2020,2020-12-14,2020/2021
109,Lancashire,2,50,2020,2020-12-14,2020/2021
110,Essex,1,50,2020,2020-12-14,2020/2021
111,Worcestershire,6,50,2020,2020-12-14,2020/2021
112,Norfolk,6,50,2020,2020-12-14,2020/2021
113,Norfolk,5,50,2020,2020-12-14,2020/2021
114,Essex,1,50,2020,2020-12-14,2020/2021
115,Monmouthshire,2,50,2020,2020-12-14,2020/2021
116,Hampshire,3,50,2020,2020-12-14,2020/2021
117,Leicestershire,1,50,2020,2020-12-14,2020/2021
118,Bedfordshire,1,50,2020,2020-12-14,2020/2021
119,Dorset,5,51,2020,2020-12-21,2020/2021
120,Dorset,1,51,2020,2020-12-21,2020/2021
121,Dorset,1,51,2020,2020-12-21,2020/2021
122,Gloucestershire,1,51,2020,2020-12-21,2020/2021
123,Greater Manchester,1,51,2020,2020-12-21,2020/2021
124,Cambridgeshire,2,51,2020,2020-12-21,2020/2021
125,Cambridgeshire,1,51,2020,2020-12-21,2020/2021
126,Cambridgeshire,1,51,2020,2020-12-21,2020/2021
127,Cambridgeshire,1,51,2020,2020-12-21,2020/2021
128,Norfolk,1,51,2020,2020-12-21,2020/2021
129,Devon,1,51,2020,2020-12-21,2020/2021
130,Isle of Wight,1,51,2020,2020-12-21,2020/2021
131,Lincolnshire,1,51,2020,2020-12-21,2020/2021
132,County Durham,3,51,2020,2020-12-21,2020/2021
133,County Durham,2,51,2020,2020-12-21,2020/2021
134,Norfolk,1,51,2020,2020-12-21,2020/2021
135,Highlands,1,51,2020,2020-12-21,2020/2021
136,Tyne and Wear,1,51,2020,2020-12-21,2020/2021
137,Northumberland,1,51,2020,2020-12-21,2020/2021
138,Gloucestershire,1,51,2020,2020-12-21,2020/2021
139,Worcestershire,1,51,2020,2020-12-21,2020/2021
140,Norfolk,2,52,2020,2020-12-28,2020/2021
141,Cambridgeshire,1,52,2020,2020-12-28,2020/2021
142,Cambridgeshire,1,52,2020,2020-12-28,2020/2021
143,Cambridgeshire,1,52,2020,2020-12-28,2020/2021
144,Cambridgeshire,1,52,2020,2020-12-28,2020/2021
145,Norfolk ,1,52,2020,2020-12-28,2020/2021
146,Cambridgeshire,2,52,2020,2020-12-28,2020/2021
147,Tyne and Wear,1,52,2020,2020-12-28,2020/2021
148,County Durham,1,52,2020,2020-12-28,2020/2021
149,Fife,3,52,2020,2020-12-28,2020/2021
150,Warwickshire,1,52,2020,2020-12-28,2020/2021
151,Lancashire,1,52,2020,2020-12-28,2020/2021
152,Gloucestershire,1,52,2020,2020-12-28,2020/2021
153,Gloucestershire,1,52,2020,2020-12-28,2020/2021
154,Gloucestershire,1,52,2020,2020-12-28,2020/2021
155,Cumbria,2,52,2020,2020-12-28,2020/2021
156,Cambridgeshire,1,52,2020,2020-12-28,2020/2021
157,Dorset,3,52,2020,2020-12-28,2020/2021
158,Lancashire,1,52,2020,2020-12-28,2020/2021
159,Clackmannanshire,1,52,2020,2020-12-28,2020/2021
160,Clackmannanshire,2,52,2020,2020-12-28,2020/2021
161,Lancashire,2,52,2020,2020-12-28,2020/2021
162,Shropshire,1,52,2020,2020-12-28,2020/2021
163,Angus,1,52,2020,2020-12-28,2020/2021
164,Bedfordshire,1,52,2020,2020-12-28,2020/2021
165,Warwarkshire,1,53,2020,2021-01-04,2020/2021
166,Clackmannanshire,1,53,2020,2021-01-04,2020/2021
167,Cornwall,1,53,2020,2021-01-04,2020/2021
168,Tyne and Wear,1,53,2020,2021-01-04,2020/2021
169,Lancashire,1,1,2021,2021-01-04,2020/2021
170,County Durham,1,1,2021,2021-01-04,2020/2021
171,Western Isles,1,1,2021,2021-01-04,2020/2021
172,Warwickshire,1,1,2021,2021-01-04,2020/2021
173,Devon,3,2,2021,2021-01-11,2020/2021
174,Yorkshire,1,2,2021,2021-01-11,2020/2021
175,Moray,1,3,2021,2021-01-18,2020/2021
176,Aberdeenshire,2,3,2021,2021-01-18,2020/2021
177,Lincolnshire,1,3,2021,2021-01-18,2020/2021
178,Devon,3,4,2021,2021-01-25,2020/2021
179,Cornwall,2,4,2021,2021-01-25,2020/2021
180,East Lothian,2,4,2021,2021-01-25,2020/2021
181,Cambridgeshire,1,5,2021,2021-02-01,2020/2021
182,Lancashire,1,5,2021,2021-02-01,2020/2021
183,West Yorkshire,1,10,2021,2021-03-08,2020/2021
184,Staffordshire,6,15,2021,2021-04-12,2020/2021
185,"Fife, Scotland",3,15,2021,2021-04-12,2020/2021
186,"Shetland, Scotland",3,30,2021,2021-07-26,2020/2021
187,"Flannan Isles, Outer Hebrides, Scotland",1,32,2021,2021-08-09,2020/2021
188,"St Kilda, Outer Hebrides, Scotland",3,33,2021,2021-08-16,2020/2021
189,"(Wrexham, Wales)",5,43,2021,2021-10-25,2021/2022
190,"(Preston, Lancashire)",1,43,2021,2021-10-25,2021/2022
191,"(Kirkaldy, Fife, Scotland)",1,43,2021,2021-10-25,2021/2022
192,"(Edinburgh, Scotland)",1,43,2021,2021-10-25,2021/2022
193,(Lancashire,1,43,2021,2021-10-25,2021/2022
194,(Lancashire),1,43,2021,2021-10-25,2021/2022
195,(Worcestershire),4,44,2021,2021-11-01,2021/2022
196,(Lancashire),2,44,2021,2021-11-01,2021/2022
197,(Lancashire),1,44,2021,2021-11-01,2021/2022
198,(Warwickshire),1,44,2021,2021-11-01,2021/2022
199,(Warwickshire),4,44,2021,2021-11-01,2021/2022
200,(Norfolk),1,44,2021,2021-11-01,2021/2022
201,(North Yorkshire),1,44,2021,2021-11-01,2021/2022
202,(Lancashire),2,44,2021,2021-11-01,2021/2022
203,"(Carmarthenshire, Wales)",1,44,2021,2021-11-01,2021/2022
204,Lancashire,3,45,2021,2021-11-08,2021/2022
205,Stratford-on-Avon District Council,33,45,2021,2021-11-08,2021/2022
206,Richmondshire,6,45,2021,2021-11-08,2021/2022
207,Bury,1,45,2021,2021-11-08,2021/2022
208,Ceredigion,2,45,2021,2021-11-08,2021/2022
209,City of Carlisle,1,45,2021,2021-11-08,2021/2022
210,East Riding of Yorkshire,2,45,2021,2021-11-08,2021/2022
211,"Pewsey, Wilts",1,45,2021,2021-11-08,2021/2022
212,Tewkesbury Borough,1,45,2021,2021-11-08,2021/2022
213,Wokingham Borough ,1,45,2021,2021-11-08,2021/2022
214,Malvern Hills District Council,3,45,2021,2021-11-08,2021/2022
215,West Lancashire Borough,1,45,2021,2021-11-08,2021/2022
216,Borough Council of Kings Lynn and West Norfolk,7,45,2021,2021-11-08,2021/2022
217,Fylde Borough Council,2,46,2021,2021-11-15,2021/2022
218,Arun District Council,1,46,2021,2021-11-15,2021/2022
219,Lichfield,2,46,2021,2021-11-15,2021/2022
220,Dumfries and Galloway,1,46,2021,2021-11-15,2021/2022
221,Fife,1,46,2021,2021-11-15,2021/2022
222,Powys,1,46,2021,2021-11-15,2021/2022
223,Sefton Metropolitan Borough Council,3,46,2021,2021-11-15,2021/2022
224,Lancaster City Council,1,46,2021,2021-11-15,2021/2022
225,Lancaster City Council,1,46,2021,2021-11-15,2021/2022
226,South Lakeland District Council,2,46,2021,2021-11-15,2021/2022
227,Dumfries and Galloway,1,46,2021,2021-11-15,2021/2022
228,Fylde Borough Council,1,46,2021,2021-11-15,2021/2022
229,Bury Metropolitan Borough Council,1,46,2021,2021-11-15,2021/2022
230,West Lancashire Borough Council,2,46,2021,2021-11-15,2021/2022
231,Stockport Metropolitan Borough Council,2,46,2021,2021-11-15,2021/2022
232,Fylde Borough Council,2,46,2021,2021-11-15,2021/2022
233,Blackpool Borough Council,2,46,2021,2021-11-15,2021/2022
234,Rushcliffe Borough Council,1,46,2021,2021-11-15,2021/2022
235,Borough Council of Kings Lynn and West Norfolk,1,46,2021,2021-11-15,2021/2022
236,Craven District Council,1,46,2021,2021-11-15,2021/2022
237,Northumberland,2,46,2021,2021-11-15,2021/2022
238,Northumberland,1,46,2021,2021-11-15,2021/2022
239,Stockton-on-Tees Borough Council,1,46,2021,2021-11-15,2021/2022
240,Bury Metropolitan Borough Council,1,46,2021,2021-11-15,2021/2022
241,Lichfield District Council,2,46,2021,2021-11-15,2021/2022
242,Stroud District Council,1,46,2021,2021-11-15,2021/2022
243,Dumfries and Galloway,1,46,2021,2021-11-15,2021/2022
244,Perth and Kinross Council,1,46,2021,2021-11-15,2021/2022
245,Walsall Metropolitan Borough Council,2,46,2021,2021-11-15,2021/2022
246,Sefton Metropolitan Borough Council,3,47,2021,2021-11-22,2021/2022
247,West Lancashire Borough,1,47,2021,2021-11-22,2021/2022
248,Bury Metropolitan Borough Council,2,47,2021,2021-11-22,2021/2022
249,Dumfriesshire,3,47,2021,2021-11-22,2021/2022
250,Rushcliffe Borough Council,1,47,2021,2021-11-22,2021/2022
251,Stroud District Council,2,47,2021,2021-11-22,2021/2022
252,South Ribble Borough Council,1,47,2021,2021-11-22,2021/2022
253,Wyre Council,1,47,2021,2021-11-22,2021/2022
254,Fylde Borough Council,1,47,2021,2021-11-22,2021/2022
255,Melton Borough Council,1,47,2021,2021-11-22,2021/2022
256,Charnwood Borough Council,1,47,2021,2021-11-22,2021/2022
257,East Suffolk District Council,2,47,2021,2021-11-22,2021/2022
258,Sedgefield,2,47,2021,2021-11-22,2021/2022
259,Dumfriesshire,1,47,2021,2021-11-22,2021/2022
260,Dumfriesshire,1,47,2021,2021-11-22,2021/2022
261,Dumfriesshire,1,47,2021,2021-11-22,2021/2022
262,Fife,2,47,2021,2021-11-22,2021/2022
263,Angus,2,47,2021,2021-11-22,2021/2022
264,Highland,1,47,2021,2021-11-22,2021/2022
265,Dorset,4,47,2021,2021-11-22,2021/2022
266,Walsall Metropolitan Borough Council,2,47,2021,2021-11-22,2021/2022
267,Lichfield District Council,2,47,2021,2021-11-22,2021/2022
268,Lancaster City Council,1,47,2021,2021-11-22,2021/2022
269,South Lakeland District Council,4,47,2021,2021-11-22,2021/2022
270,Rother District Council,1,47,2021,2021-11-22,2021/2022
271,North Northamptonshire,2,47,2021,2021-11-22,2021/2022
272,West Northamptonshire,1,47,2021,2021-11-22,2021/2022
273,Sandwell Metropolitan Borough Council,1,47,2021,2021-11-22,2021/2022
274,Walsall Metropolitan Borough Council,1,47,2021,2021-11-22,2021/2022
275,Aberdeenshire,1,47,2021,2021-11-22,2021/2022
276,Craven District Council,1,47,2021,2021-11-22,2021/2022
277,Cheshire East,7,47,2021,2021-11-22,2021/2022
278,Herefordshire,1,47,2021,2021-11-22,2021/2022
279,Blackpool Borough Council,2,47,2021,2021-11-22,2021/2022
280,Dumfries and Galloway,2,48,2021,2021-11-29,2021/2022
281,Dumfriesshire,2,48,2021,2021-11-29,2021/2022
282,Peterborough City Council,1,48,2021,2021-11-29,2021/2022
283,South Cambridgeshire District Council,1,48,2021,2021-11-29,2021/2022
284,West Lancashire Borough,1,48,2021,2021-11-29,2021/2022
285,Leeds City Council,1,48,2021,2021-11-29,2021/2022
286,Wokingham,1,48,2021,2021-11-29,2021/2022
287,Stratford-on-Avon District Council,7,48,2021,2021-11-29,2021/2022
288,City of Carlisle,1,48,2021,2021-11-29,2021/2022
289,Dumfriesshire,2,48,2021,2021-11-29,2021/2022
290,South Lanarkshire,1,48,2021,2021-11-29,2021/2022
291,Falkirk,1,48,2021,2021-11-29,2021/2022
292,Dumfriesshire,1,48,2021,2021-11-29,2021/2022
293,Dumfries and Galloway,1,48,2021,2021-11-29,2021/2022
294,Dumfriesshire,1,48,2021,2021-11-29,2021/2022
295,Stroud,5,48,2021,2021-11-29,2021/2022
296,Scottish Borders,1,48,2021,2021-11-29,2021/2022
297,Fylde Borough Council,1,48,2021,2021-11-29,2021/2022
298,Sefton Metropolitan Borough Council,3,48,2021,2021-11-29,2021/2022
299,Fylde Borough Council,3,48,2021,2021-11-29,2021/2022
300,Carlisle City Council,2,48,2021,2021-11-29,2021/2022
301,Allerdale Borough Council,1,48,2021,2021-11-29,2021/2022
302,South Norfolk District Council,1,48,2021,2021-11-29,2021/2022
303,North Norfolk District Council,1,48,2021,2021-11-29,2021/2022
304,North Norfolk District Council,2,48,2021,2021-11-29,2021/2022
305,Chelmsford City Council,2,48,2021,2021-11-29,2021/2022
306,West Northamptonshire,1,48,2021,2021-11-29,2021/2022
307,Sunderland City Council,6,48,2021,2021-11-29,2021/2022
308,Stockton-on-Tees Borough Council,3,48,2021,2021-11-29,2021/2022
309,Hartlepool Borough Council,1,48,2021,2021-11-29,2021/2022
310,Harrogate,2,48,2021,2021-11-29,2021/2022
311,Cheddar,1,48,2021,2021-11-29,2021/2022
312,Dorset,1,48,2021,2021-11-29,2021/2022
313,Dorset,1,48,2021,2021-11-29,2021/2022
314,Anglesey,1,48,2021,2021-11-29,2021/2022
315,Shropshire,2,48,2021,2021-11-29,2021/2022
316,Bury,1,48,2021,2021-11-29,2021/2022
317,Gwynedd Council,1,48,2021,2021-11-29,2021/2022
318,Dumfries and Galloway,1,48,2021,2021-11-29,2021/2022
319,Stroud,4,48,2021,2021-11-29,2021/2022
320,Allerdale Borough Council,3,49,2021,2021-12-06,2021/2022
321,Dumfries and Galloway,5,49,2021,2021-12-06,2021/2022
322,West Berkshire Council,3,49,2021,2021-12-06,2021/2022
323,Wokingham,1,49,2021,2021-12-06,2021/2022
324,Lewes,1,49,2021,2021-12-06,2021/2022
325,Chelmsford,1,49,2021,2021-12-06,2021/2022
326,South Oxfordshire,1,49,2021,2021-12-06,2021/2022
327,Gedling Borough,1,49,2021,2021-12-06,2021/2022
328,Durham,3,49,2021,2021-12-06,2021/2022
329,Teignbridge,1,49,2021,2021-12-06,2021/2022
330,Walsall Metropolitan Borough Council,2,49,2021,2021-12-06,2021/2022
331,Eden,1,49,2021,2021-12-06,2021/2022
332,Cheshire East,1,49,2021,2021-12-06,2021/2022
333,Shropshire,1,49,2021,2021-12-06,2021/2022
334,Halton Borough,1,49,2021,2021-12-06,2021/2022
335,Sunderland City Council,2,49,2021,2021-12-06,2021/2022
336,Angus,1,49,2021,2021-12-06,2021/2022
337,West Lancashire Borough,3,49,2021,2021-12-06,2021/2022
338,Scottish Borders,1,49,2021,2021-12-06,2021/2022
339,North Northamptonshire,1,49,2021,2021-12-06,2021/2022
340,East Riding of Yorkshire,1,49,2021,2021-12-06,2021/2022
341,Leeds City Council,1,49,2021,2021-12-06,2021/2022
342,Dorset,1,49,2021,2021-12-06,2021/2022
343,Stroud,4,49,2021,2021-12-06,2021/2022
344,West Lancashire Borough,3,49,2021,2021-12-06,2021/2022
345,Allerdale Borough Council,2,50,2021,2021-12-13,2021/2022
346,South Lakeland District Council,2,50,2021,2021-12-13,2021/2022
347,Harrogate,2,50,2021,2021-12-13,2021/2022
348,Ryedale District Council,1,50,2021,2021-12-13,2021/2022
349,Dorset,4,50,2021,2021-12-13,2021/2022
350,City of Wolverhampton Council,4,50,2021,2021-12-13,2021/2022
351,Dumfries and Galloway,8,50,2021,2021-12-13,2021/2022
352,West Lancashire Borough,2,50,2021,2021-12-13,2021/2022
353,South Lanarkshire,1,50,2021,2021-12-13,2021/2022
354,Stroud,2,50,2021,2021-12-13,2021/2022
355,Leeds City Council,1,50,2021,2021-12-13,2021/2022
356,Shropshire,2,50,2021,2021-12-13,2021/2022
357,Wigan Metropolitan Borough,2,50,2021,2021-12-13,2021/2022
358,Scottish Borders,1,50,2021,2021-12-13,2021/2022
359,Mendip District Council,1,50,2021,2021-12-13,2021/2022
360,Borough Council of Kings Lynn and West Norfolk,2,50,2021,2021-12-13,2021/2022
361,Dumfriesshire,4,50,2021,2021-12-13,2021/2022
