,Location (county),Total number of birds testing positive,week,year,date,season,location_2,Match
670,Arun District Council,1,19,2022,09/05/2022,2021/2022,West Sussex,FALSE
695,Arun District Council,1,24,2022,13/06/2022,2021/2022,West Sussex,FALSE
715,Arun District Council,1,25,2022,20/06/2022,2021/2022,West Sussex,FALSE
726,Arun District Council,3,26,2022,27/06/2022,2021/2022,West Sussex,FALSE
742,Arun District Council,3,27,2022,04/07/2022,2021/2022,West Sussex,FALSE
772,Arun District Council,1,30,2022,25/07/2022,2021/2022,West Sussex,FALSE
873,Arun,1,41,2022,10/10/2022,2022/2023,West Sussex,FALSE
896,Arun,1,42,2022,17/10/2022,2022/2023,West Sussex,FALSE
940,Arun,1,44,2022,31/10/2022,2022/2023,West Sussex,FALSE
746,Chichester,4,27,2022,04/07/2022,2021/2022,West Sussex,FALSE
970,Chichester,2,45,2022,07/11/2022,2022/2023,West Sussex,FALSE
924,Horsham,1,43,2022,24/10/2022,2022/2023,West Sussex,FALSE
357,Wigan Metropolitan Borough,2,50,2021,13/12/2021,2021/2022,Wigan,TRUE
588,Wigan Metropolitan Borough,1,11,2022,14/03/2022,2021/2022,Wigan,TRUE
1028,Salisbury,1,47,2022,21/11/2022,2022/2023,Wiltshire,FALSE
211,"Pewsey, Wilts",1,45,2021,08/11/2021,2021/2022,Wiltshire,FALSE
915,Wiltshire,2,42,2022,17/10/2022,2022/2023,Wiltshire,TRUE
964,Wiltshire,3,44,2022,31/10/2022,2022/2023,Wiltshire,TRUE
414,Wirral,2,1,2022,03/01/2022,2021/2022,Wirral,TRUE
436,Wirral,1,2,2022,10/01/2022,2021/2022,Wirral,TRUE
470,Wirral,1,4,2022,24/01/2022,2021/2022,Wirral,TRUE
488,Wirral,1,5,2022,31/01/2022,2021/2022,Wirral,TRUE
543,Wirral,1,8,2022,21/02/2022,2021/2022,Wirral,TRUE
213,Wokingham Borough ,1,45,2021,08/11/2021,2021/2022,Wokingham,TRUE
286,Wokingham,1,48,2021,29/11/2021,2021/2022,Wokingham,TRUE
323,Wokingham,1,49,2021,06/12/2021,2021/2022,Wokingham,TRUE
350,City of Wolverhampton Council,4,50,2021,13/12/2021,2021/2022,Wolverhampton,FALSE
389,City of Wolverhampton Council,2,52,2021,27/12/2021,2021/2022,Wolverhampton,FALSE
407,City of Wolverhampton Council,3,1,2022,03/01/2022,2021/2022,Wolverhampton,FALSE
945,City of Wolverhampton,1,44,2022,31/10/2022,2022/2023,Wolverhampton,FALSE
968,Bromsgrove,1,45,2022,07/11/2022,2022/2023,Worcestershire,FALSE
916,Worcester City,3,42,2022,17/10/2022,2022/2023,Worcestershire,FALSE
98,Worcestershire,5,50,2020,14/12/2020,2020/2021,Worcestershire,TRUE
111,Worcestershire,6,50,2020,14/12/2020,2020/2021,Worcestershire,TRUE
139,Worcestershire,1,51,2020,21/12/2020,2020/2021,Worcestershire,TRUE
195,(Worcestershire),4,44,2021,01/11/2021,2021/2022,Worcestershire,TRUE
214,Malvern Hills District Council,3,45,2021,08/11/2021,2021/2022,Worcestershire,FALSE
632,Wychavon,3,14,2022,04/04/2022,2021/2022,Worcestershire,FALSE
189,"(Wrexham, Wales)",5,43,2021,25/10/2021,2021/2022,Wrexham,FALSE
992,City of York,4,46,2022,14/11/2022,2022/2023,York,FALSE
1036,York,2,47,2022,21/11/2022,2022/2023,York,TRUE
