Week number,Location (county),Number of findings,Species involved,Total number of birds testing positive
Week 48 (2020),Essex,1,mute swan,1
Week 48 (2020),Cambridgeshire,1,mute swan,1
Week 48 (2020),Northumberland,1,Brent goose,1
Week 48 (2020),Dorset,1,Mute swans,4
Week 48 (2020),Devon,1,Black swan,1
Week 48 (2020),Warwickshire,1,Buzzard,1
Week 48 (2020),Northumberland,1,Brent goose,2
Week 48 (2020),Cumbria,1,Mute swans,6
Week 48 (2020),Lancashire,1,Mutes swans,4
Week 49 (2020),Gwent,1,Mute swans,3
Week 49 (2020),Oxfordshire,1,Lesser black backed gull ,1
Week 49 (2020),Northumberland,1,uspecified goose,1
Week 49 (2020),Lincolnshire,1,Mute swan,1
Week 49 (2020),Yorkshire,1,Great white egret,1
Week 49 (2020),Norfolk,1,Whooper swan,1
Week 49 (2020),Carmarthenshire,1,Little grebe,1
Week 49 (2020),Warwickshire,1,Grey heron,1
Week 50 (2020),Worcestershire,1,mute swans ,5
Week 50 (2020),Aberdeen,1,Whooper swans,3
Week 50 (2020),Fife,1,Unspecified swan,1
Week 50 (2020),Dorset,1,mute swans,12
Week 50 (2020),Dorset,1,Canada goose,1
Week 50 (2020),Essex,1,Mute swan,1
Week 50 (2020),Cambridgeshire,1,Whooper swans,3
Week 50 (2020),Cambridgeshire,1,Mute swan,1
Week 50 (2020),Cambridgeshire,1,Whooper swan,1
Week 50 (2020),Lancashire,1,"Mute swan, Greylag goose",3
Week 50 (2020),Warwickshire,1,Mute swans,2
Week 50 (2020),Lancashire,1,Greylag goose,2
Week 50 (2020),Essex,1,Mute swan,1
Week 50 (2020),Worcestershire,1,Mute swans,6
Week 50 (2020),Norfolk,1,"Whooper swans, Greylag goose",6
Week 50 (2020),Norfolk,1,Mute swans,5
Week 50 (2020),Essex,1,Mute swan,1
Week 50 (2020),Monmouthshire,1,Mute swans,2
Week 50 (2020),Hampshire,1,Mute swans,3
Week 50 (2020),Leicestershire,1,Mute swan,1
Week 50 (2020),Bedfordshire,1,Mute swan,1
Week 51 (2020),Dorset,1,Mute and unspecified swans ,5
Week 51 (2020),Dorset,1,Mute swan,1
Week 51 (2020),Dorset,1,Canada goose,1
Week 51 (2020),Gloucestershire,1,Unspecified swan,1
Week 51 (2020),Greater Manchester,1,Canada goose ,1
Week 51 (2020),Cambridgeshire,1,"Whooper swan, mute swan",2
Week 51 (2020),Cambridgeshire,1,Mute swan,1
Week 51 (2020),Cambridgeshire,1,Mute swan,1
Week 51 (2020),Cambridgeshire,1,Mute swan,1
Week 51 (2020),Norfolk,1,Whooper swan,1
Week 51 (2020),Devon,1,Canada goose,1
Week 51 (2020),Isle of Wight,1,Mute swan,1
Week 51 (2020),Lincolnshire,1,Whooper swan,1
Week 51 (2020),County Durham,1,Unsecified swans,3
Week 51 (2020),County Durham,1,Unsecified swans,2
Week 51 (2020),Norfolk,1,Whooper swan,1
Week 51 (2020),Highlands,1,Greylag goose,1
Week 51 (2020),Tyne and Wear,1,Unspecified swan,1
Week 51 (2020),Northumberland,1,Canada goose,1
Week 51 (2020),Gloucestershire,1,Mute swan,1
Week 51 (2020),Worcestershire,1,Mute swan ,1
Week 52 (2020),Norfolk,1,Whooper swans,2
Week 52 (2020),Cambridgeshire,1,Mute swan,1
Week 52 (2020),Cambridgeshire,1,Mute swan,1
Week 52 (2020),Cambridgeshire,1,Mute swan,1
Week 52 (2020),Cambridgeshire,1,Mute swan,1
Week 52 (2020),Norfolk ,1,Whooper swan,1
Week 52 (2020),Cambridgeshire,1,Whooper swans,2
Week 52 (2020),Tyne and Wear,1,Canada goose,1
Week 52 (2020),County Durham,1,Mute swan,1
Week 52 (2020),Fife,1,Unsecified swans,3
Week 52 (2020),Warwickshire,1,Mute swan,1
Week 52 (2020),Lancashire,1,Whooper swan,1
Week 52 (2020),Gloucestershire,1,Canada goose,1
Week 52 (2020),Gloucestershire,1,Mute swan,1
Week 52 (2020),Gloucestershire,1,Mute swan,1
Week 52 (2020),Cumbria,1,Mute swans,2
Week 52 (2020),Cambridgeshire,1,Buzzard,1
Week 52 (2020),Dorset,1,Mute swans,3
Week 52 (2020),Lancashire,1,Greylag goose,1
Week 52 (2020),Clackmannanshire,1,Mute swan,1
Week 52 (2020),Clackmannanshire,1,Mute swan,2
Week 52 (2020),Lancashire,1,Mute swans,2
Week 52 (2020),Shropshire,1,Mute swan,1
Week 52 (2020),Angus,1,Whooper swan,1
Week 52 (2020),Bedfordshire,1,Mute swan,1
Week 53 (2020),Warwarkshire,1,Canada goose ,1
Week 53 (2020),Clackmannanshire,1,Mute swan,1
Week 53 (2020),Cornwall,1,Mute swan,1
Week 53 (2020),Tyne and Wear,1,Mute swan ,1
